Tcnt,Time,V1,V2,V3,V4,V5,V6,V7,V8,V1os,chg,disch,Ref-,Ref+,Iavg,Iinst,Vtot,V1_BG,Temp,SOH,Cylcnt,SOC,BalB,BalT,Addr,Tic,dTic
1, 06/30/2014 04:17:19 PM, 4.106, 4.111, 4.118, 4.114, 4.141, 4.133, 4.146, 4.141, 0.096, 0, 3, 2.588, 4.382, 0.000, -0.001, 33.01, 4.103, 26.650, 0, 0, 95, 0, 0, 0x50, 850884, 1
2, 06/30/2014 04:17:20 PM, 4.106, 4.108, 4.118, 4.114, 4.141, 4.133, 4.146, 4.139, 0.096, 0, 3, 2.588, 4.382, 0.000, -0.001, 33.005, 4.103, 26.650, 0, 0, 95, 0, 0, 0x50, 850885, 1
3, 06/30/2014 04:17:21 PM, 4.106, 4.111, 4.116, 4.114, 4.143, 4.133, 4.146, 4.139, 0.096, 0, 3, 2.588, 4.382, 0.000, -0.001, 33.008, 4.103, 26.650, 0, 0, 95, 0, 0, 0x50, 850886, 1
4, 06/30/2014 04:17:22 PM, 4.106, 4.111, 4.116, 4.114, 4.143, 4.133, 4.146, 4.141, 0.096, 0, 3, 2.588, 4.382, 0.000, -0.001, 33.01, 4.103, 26.650, 0, 0, 95, 0, 0, 0x50, 850887, 1
5, 06/30/2014 04:17:23 PM, 4.106, 4.111, 4.116, 4.114, 4.141, 4.133, 4.146, 4.146, 0.096, 0, 3, 2.588, 4.382, 0.000, -0.001, 33.013, 4.103, 26.650, 0, 0, 95, 0, 0, 0x50, 850888, 1
6, 06/30/2014 04:17:24 PM, 4.106, 4.111, 4.118, 4.114, 4.143, 4.133, 4.146, 4.141, 0.096, 0, 3, 2.588, 4.382, 0.000, -0.001, 33.012, 4.103, 26.650, 0, 0, 95, 0, 0, 0x50, 850889, 1
7, 06/30/2014 04:17:25 PM, 4.106, 4.111, 4.118, 4.114, 4.143, 4.133, 4.146, 4.143, 0.096, 0, 3, 2.588, 4.382, 0.000, -0.001, 33.014, 4.103, 26.650, 0, 0, 95, 0, 0, 0x50, 850890, 1
8, 06/30/2014 04:17:26 PM, 4.106, 4.111, 4.118, 4.114, 4.141, 4.133, 4.146, 4.141, 0.096, 0, 3, 2.588, 4.382, 0.000, -0.001, 33.01, 4.103, 26.650, 0, 0, 95, 0, 0, 0x50, 850891, 1
9, 06/30/2014 04:17:27 PM, 4.106, 4.111, 4.118, 4.114, 4.141, 4.133, 4.146, 4.143, 0.096, 0, 3, 2.588, 4.382, 0.000, -0.001, 33.012, 4.103, 26.650, 0, 0, 95, 0, 0, 0x50, 850892, 1
10, 06/30/2014 04:17:28 PM, 4.106, 4.111, 4.116, 4.114, 4.143, 4.133, 4.146, 4.141, 0.096, 0, 3, 2.588, 4.382, 0.000, -0.001, 33.01, 4.103, 26.650, 0, 0, 95, 0, 0, 0x50, 850893, 1
11, 06/30/2014 04:17:29 PM, 4.106, 4.111, 4.116, 4.114, 4.143, 4.133, 4.146, 4.141, 0.096, 0, 3, 2.588, 4.382, 0.000, -0.001, 33.01, 4.103, 26.650, 0, 0, 95, 0, 0, 0x50, 850894, 1
12, 06/30/2014 04:17:30 PM, 4.106, 4.111, 4.118, 4.116, 4.141, 4.133, 4.146, 4.141, 0.096, 0, 3, 2.588, 4.382, 0.000, -0.001, 33.012, 4.103, 26.650, 0, 0, 95, 0, 0, 0x50, 850895, 1
